9|7|10|0|6 , file disclosure vulnerability information exposure
9|7|10|0|6 , obtain sensitive information
3|9|7|6|0|1 , authentication vulnerability hardcode credential
0|6|7 , properly validate input read arbitrary file unspecified vector
0|6|7 ,
4|0|6|7 , hard code credential password cryptographic key outbound communication external component encryption internal datum
10|3 ,
0|6|7|9 , affect confidentiality integrity unknown vector
3|9|7|6|0|1 , unencrypted connection
1|3 , job isolation escape elevate privilege data confidentiality integrity
9|7|10|0|6 , obtain sensitive information direct request idb config?cmd = installlicense uri ip address guest account
3|9|7|6|0|1 , remote code execution
0|6|7 , determine existence arbitrary file url obtain file url content parse error xml value dtd xml external entity aka xxe
9|7|10|0|6 , limited plaintext disclosure disclosure plaintext content
4|0|6|7 , hardcoded rsa ssh key
5 , memory leak
3|9|4|7|0|6 , compromise affected bluecats network implementation gain physical control ios device compromise
0|6|7 , mishandles comparison operator obtain sensitive information craft javascript code
0|6|7 , remote code execution object memory remote code execution
10|3 ,
0|6|7 , gain write access file
0|6|7 , open redirect redirect user arbitrary web site phishing attack craft return url insecure redirect
9|7|10|0|6 , ssh private key filename disclose presence arbitrary file absolute path assess
0|6|7 , escalation privilege local access
9|7|10|0|6 , information leak download mcafee product package install machine policy detail
0|6|7 , properly validate file unspecified impact attack vector
0|6|7 , incorrect handling uri component bypass hostname specific url check
3|9|7|6|0|1 , spoof arbitrary user user user.login request
2 , logging session cookie impersonation user
0|6|7 , insufficient argument validation
0|6|7|9 , canonicalize_username authenticate bypass intended access restriction realm string
0|6|7 , validate return value realloc function denial service invalid 0x00 write operation daemon crash craft positive integer opcode
9|7|10|0|6 , obtain sensitive information direct request .php file error message widget statistic init.php
9|7|10|0|6 , information disclosure access datum outside permission level access sensitive datum
9|7|10|0|6 , compromise oracle hospitality suite8 impact additional product unauthorized read access
0|6|7 , dynamic library loading arbitrary code execution
0|6|7 , denial service routing engine reload unspecified change ip address assignment
9|7|10|0|6 , guess token value create backup craft url
3|9|4|7|0|6 , protection secret credential service account
10 , view submission /rss.xml page
0|6|7 , spoof signature saml 1 response denial service memory consumption improper conversion return value boolean
0|6|7|9 , affect confidentiality integrity availability
0|6|7 , denial service dos attack affect device insufficient input validation incoming craft email exhaust available cpu resource prevent email process dos condition
0|6|7 , escalation privilege local access
0|6|7 , dos vulnerability improper handling malformed message send craft packet affected device deny service
0|6|7|9 , access control creation tcp udp rule gain access unauthorized resource
9|7|10|0|6 , http request contain sensitive information obtain user id meeting detail authentication token read system log file
0|6|7 , input validation bypass unauthorized information modification
0|6|7 , spoof url user interface craft web site
0|6|7 , privilege escalation improper input validation modify run kernel extension
9|7|10|0|6 , /usr lpp mmfs bin gpfs.snap contain cleartext key obtain sensitive information
0|6|7 , dll search order send zip archive compose html page malicious dll target control system
0|6|7 , denial service
0|6|7 , global variable denial service application crash craft packet
3|9|7|6|0|1 , reboot execute certain instruction unexpected behavior
0|6|7 , incorrect bitmask denial service general protection fault system crash reserve bit
3|9|7|6|0|1 , read message arbitrary user xml request contain valid license key modified contactid value
9|7|10|0|6 , information disclosure improperly disclose content memory
10 , incorrectly set certain directory escalation privilege
9|7|10|0|6 , obtain sensitive information ciphertext reuse
0|6|7 , incorrect regular expression cn spoof ssl server craft certificate
0|6|7 ,
9|7|10|0|6 , insecure permission issue guest user access private information code information
0|6|7|9 , bypass intend restriction javascript api execution unspecified vector
0|6|7 , log use username leading trailing repeat underscore(
9|7|10|0|6 , remote disclosure information
0|6|7 , spoof address bar craft web site
3|9|7|6|0|1 , commit failure condition trust administrative change system error message mgd error commit fail activate partial configuration
0|6|7 , run arbitrary code start database server symbolic link open chmod chown escalate root privilege
4|0|6|7 , hard code credential unauthorized access application encrypt file
0|6|7 , crash device post request huge body size /hy cgi devices.cgi?cmd= searchlandevice freeze device
9|7|10|0|6 , obtain sensitive configuration information direct request
0|6|7 , temporary directory /tmp prevent user execute bubblewrap execute code
0|6|7|9 , bypass intend item selection restriction unspecified vector
0|6|7 , export broadcast receiver initiate taking screenshot result screenshot write external storage screen animation wake device expand status bar screenshot user notification text message denial service dos reboot device
0|6|7|9 , remote code execution
3|9|7|6|0|1 , bypass authentication arbitrary valid username
1|3 , scripting interaction backend server
9|7|10|0|6 , remote unauthenticated disclosure information
3|9|7|6|0|1 ,
9|7|10|0|6 , error message
9|7|10|0|6 , improper access control restrict access certain file certain application information disclosure
9|7|10|0|6 , access sensitive information confidentiality
3|4|7|0|6 , inadequate account lockout setting brute force account credential
5 , elevation privilege directx improperly handle object memory
3|9|7|6|0|1 , remote code execution remote code execution
0|6|7 , read arbitrary file configuration input
0|6|7 , crash system escalate privilege
9|7|10|0|6 , information disclosure improperly handle object memory information disclosure
0|6|7 , factory reset remove user datum app loss datum factory reset
10 , miss permission check create fork relation restrict public project
3|9|7|6|0|1 , root privilege
9|7|10|0|6 , obtain sensitive information
0|6|7|9 , restrict file type upload execute arbitrary code modified eventargument filename parameter
10|3 ,
9|7|10|0|6 , properly restrict discovery memory address bypass aslr protection mechanism unspecified vector
9|7|10|0|6 , database download
3|9|7|6|0|1 , retain access unspecified vector
3|4|7|0|6 , user enumeration improper restriction excessive authentication attempt enumerate user administrator group brute force attack password
0|6|7 , code execution process create executable memory mapping execute shellcode
0|6|7 , properly validate passphrase launch deployment denial service deployment interruption direct request
3|9|7|6|0|1 , access sensitive information improper handling authentication token craft http request affect device access sensitive device information
0|6|7 , infinite loop offset length validation
0|6|7 , url path parameter url path parameter bypass security constraint lack clarity regard handling path parameter
0|6|7 , memory allocation denial service invalid pointer access unspecified impact craft file
0|6|7 , print denial service segmentation fault process crash
9|7|10|0|6 , denial service access external resource
0|6|7 , properly validate user mode input gain privilege craft application
9|7|10|0|6 , recognize absence compatibility mode option obtain sensitive information sniff network session
9|7|10|0|6 , gain privilege
3|9|4|7|0|6 ,
3|9|4|7|0|6 ,
9|7|10|0|6 , initialize certain length variable obtain sensitive information kernel stack memory craft recvmsg recvfrom
3|9|7|6|0|1 , improper authentication vulnerability authentication bypass upload malicious datum
0|6|7 , execute arbitrary code system send user link email attachment malicious arf file follow link open file execute arbitrary code
9|7|10|0|6 , obtain sensitive information user_login user_pass user_email value direct request wp content upload tmm_db_migrate wp_users.dat
9|7|10|0|6 , properly restrict link password reset page discover password reset token read referer log
9|7|10|0|6 , properly handle throwing runtimeexception asynclistener application obtain sensitive request information
3|9|7|6|0|1 , improper authentication issue view information modify setting execute code remotely
0|6|7 , improper input validation dcd denial service
0|6|7 , properly restrict user input radasyncupload perform arbitrary file upload execute arbitrary code
0|6|7 , properly perform cast unspecified variable handle block child denial service application crash unknown impact craft text element svg
0|6|7 , denial service dos install malicious application camera application unusable
9|7|10|0|6 , information disclosure specially craft request retrieve sensitive information
0|6|7 , ensure cursor visible clickjacking attack flash object craft javascript code
9|7|10|0|6 , read internal information
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7|9 , bypass intend access restriction read task detail edit property unspecified vector
10|3 , read sensitive information server template injection string craft.app.config.db.user
5 , denial service memory leak craft file
0|6|7|9 , denial service system hang craft request denial service
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7 , proper validation user supply datum bounds write execute code context current process
0|6|7 , ed begin tls response read additional data evaluate tls context response injection
0|6|7 , escalation privilege miss validation parceling uri information local escalation privilege
0|6|7 , execute arbitrary code craft http request
0|6|7 , external control file change download package overwrite arbitrary file
5 , attempt excessive memory allocation denial of- craft input memory
9|7|10|0|6 , properly restrict access private file read private file direct request
9|7|10|0|6 , information disclosure special craft file access datum outside permission level general bypass exploit mitigation technology
9|7|10|0|6 , obtain sensitive information vector relate cookie
5 , consider maximum rpc datum size denial service memory consumption craft udp packet rpcbomb
3|9|7|6|0|1 , invalid authentication sequence miss state validation step force hostapd process terminate denial service
0|6|7 , write arbitrary file symlink attack /tmp fishd.log.%s /tmp/.pac cache.$user /tmp/.yum cache.$user /tmp/.rpm cache.$user
5 , leak memory denial service consume memory host machine
0|6|7 , inject bytecode app improper input validation local escalation privilege
0|6|7 , execute arbitrary code craft pdf document windows pdf remote code execution
0|6|7 , execute arbitrary code craft app
0|6|7 , float point exception attack
10|3 ,
9|7|10|0|6 , information disclosure modify png file product image disclosure document root path
0|6|7 , remote code execution properly configure application use image processing
0|6|7 , denial service system crash long rpc reply
9|7|10|0|6 , administration console traffic obtain sensitive information key exchange packet
0|6|7 , denial service memory corruption incorrect handling popular page
9|7|10|0|6 , properly initialize packet buffer obtain sensitive information early network communication read packet datum
9|7|10|0|6 , obtain sensitive information uninitialized memory location craft application
9|7|10|0|6 , information disclosure vulnerability view private ip address sensitive information
0|6|7 , denial service assertion failure long data value
0|6|7 , dos attack specially craft table
0|6|7 , overwrite arbitrary file arbitrary folder hard link execute arbitrary code
9|7|10|0|6 , obtain sensitive cleartext web service information
0|6|7 , traffic management microkernel tmm restart result denial service dos
1|0|3|9 , signature bypass
5 , n
9|7|10|0|6 , information disclosure
0|6|7|9 , uid check bypass intend restriction method craft application
0|6|7 , gain privilege invalid input
0|6|7 , leak referrer information craft html page
9|7|10|0|6 , obtain sensitive information incorrect transport jaspic
0|6|7 , untrusted search path gain privilege trojan horse executable file
4|0|6|7 , file transfer
0|6|7 , input validation issue execute arbitrary code
0|6|7 , properly use memset library function denial service unspecified impact unknown vector
0|6|7 , crash
0|6|7 , outside range representable value type float undefined behavior issue denial service application crash unspecified impact craft image
9|7|10|0|6 , icm32.dll bypass aslr execute code craft website
0|6|7 , sanitize html email content execute arbitrary javascript
4|0|6|7 , hardcoded cookie secret validate cookie signature bypass intend protection mechanism php object injection attack execute arbitrary php code craft userzone cookie
0|6|7 , miss validation accept arbitrary file send server overwrite unrelated file
9|7|10|0|6 , discover password arbitrary user read log file unspecified gui feature
9|7|10|0|6 , information disclosure
9|7|10|0|6 , predictable file path disclosure leakage sensitive datum
3|9|4|7|0|6 , discover credential
0|6|7 , execute arbitrary code craft app
9|7|10|0|6 , read content craft web site information disclosure vulnerability
3|9|7|6|0|1 , includes wizard injection cascading style sheet css token sequence
3|9|7|6|0|1 , authentication bypass access account
3|9|7|6|0|1 , authentication bypass insert arbitrary javascript html code sgcgoogleanalytic update insert code
5 , memory buffer error memory leakage dos attack construct attack scenario
0|6|7 , proxy command injection execute arbitrary code vulnerable installation parse tr parameter proxy.php
9|7|10|0|6 , information disclosure local malicious application access datum outside permission level compromise privileged process
0|6|7|9 , graphic driver denial service system crash gain privilege craft application graphic permission interface access control
0|6|7 , command injection
0|6|7 , remote code execution properly validate input authenticate user guest operating system remote code execution
9|7|10|0|6 , article bcc field pdf
9|7|10|0|6 , discover potentially sensitive url craft reference element creation img element arbitrary url src attribute information disclosure
0|6|7 , modify arbitrary file symlink attack unspecified file
9|7|10|0|6 , retrieve memory connect server
0|6|7 , denial of-
3|9|4|7|0|6 , strong password
0|6|7 , properly validate inject malicious code bug/ href xxx.com change wireless setting
9|7|10|0|6 , incorrect access control connect authentication subsequently record audio device microphone
9|7|10|0|6 , mitigation bypass bypass aslr use cache thread stack
5 , memory leak
0|6|7 , execute arbitrary code unspecified vector
4|0|6|7 , hidden administrative account flash new interface tag modbus coil map hmi login abb hmi read write hmi configuration file reset device
0|9 , session hijacking privilege escalation enter administrator username arbitrary incorrect password
9|7|10|0|6 , sensitive information http server header attack system
9|7|10|0|6 , obtain party integration parameter information disclosure
9|7|10|0|6 , local privilege escalation arbitrary read issue
9|7|10|0|6 , obtain sensitive phone configuration information
3|9|7|6|0|1 , download log file
5 , memory leak denial service craft pgx image file
9|7|10|0|6 , information disclosure improperly handle object memory
9|7|10|0|6 , correctly propagate csp restriction javascript scheme page bypass content security policy craft html page
0|6|7 , execute arbitrary command ssh url initial dash character hostname url = line .lfsconfig file repository
10|3 , miss encryption sensitive datum information leak disclosure network process information intellectual property
0|6|7 , configuration issue
9|7|10|0|6 , access sensitive information email address committer permission check
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
9|7|10|0|6 , remote frame navigation access file local file system crafted chrome extension
9|7|10|0|6 , read srs secret exim.conf sec-308
0|6|7 , crash system_server process active install session write embed apk file accelerate parsing apk parse apk parse apk file crash uncaught error java.lang outofmemoryerror uncaught exception std::bad_alloc memory constraint soft reboot system_server crash
3|9|7|6|0|1 , continue receive update issue broken access control
10 , direct request include configuration configobject service
9|7|10|0|6 , bypass intend access restriction discover credential key read configuration file
9|7|10|0|6 , information disclosure gain information relate memory layout blended attack execute command target procf resource
0|6|7 , arbitrary file overwrite
9|7|10|0|6 , properly ensure use constant time operation discover dsa private key time channel attack
9|7|10|0|6 , obtain potentially sensitive information connection web service
9|7|10|0|6 , unauthorized viewing response information disclosure possibly sensitive build/ craft http request
9|7|10|0|6 , obtain potentially sensitive information direct request file temporary.txt
0|6|7|9 , bypass lock screen mouse touch gesture
3|9|4|7|0|6 , insufficiently protect credential obtain credential use connect crowd 2
0|6|7 , execute arbitrary command unsafe search path convince target user follow malicious link load library directory execute arbitrary command place craft library directory
0|9 , session fixation attack obtain sensitive cookie information passage cookie
9|7|10|0|6 , obtain private key
9|7|10|0|6 , information exposure
0|6|7 , wsp infinite loop packet injection malformed capture file
0|6|7 , validate input craft input unintended input altered control flow arbitrary control resource arbitrary code execution
9|7|10|0|6 , steal dm crypt encryption key
0|6|7 , reverse path forward urpf bypass urpf validation spoof packet
0|6|7 , symlink mishandling change arbitrary directory permission unspecified vector
9|7|10|0|6 , cross origin resource sharing access sensitive information
3|9|7|6|0|1 , authentication authorization cluster message man the- intercept inject disrupt junos space cluster operation
0|9 , session expiry time
9|7|10|0|6 , httponly flag steal
0|6|7|9 , execute arbitrary command unspecified vector
0|6|7 , change ownership append datum arbitrary file symlink attack user mailbox
0|6|7 , privilege escalation
0|6|7 , instantiate arbitrary ruby object execute arbitrary command payment_method parameter core/ promotion_action parameter promotion_actions_controller.rb promotion_rule parameter promotion_rules_controller.rb calculator_type parameter promotions_controller.rb unsafe use constantize function
9|7|10|0|6 , automatic fallback discover tor client ip address port eprt command automatic fallback
0|6|7 , denial service crash craft packet
0|6|7 , execute arbitrary code arf wrf send user malicious arf wrf file email attachment open file execute arbitrary code
9|7|10|0|6 , public key pinning pkp correctly consider property spdy connection obtain sensitive information use multiple domain
9|7|10|0|6 , insecure permission view content session session_admin directory expose active session cookie hijack user administrative session execute lua command
0|6|7 , image backup verify origin integrity code
0|6|7 , get_value function incorrect integer datum type denial service invalid write operation application crash craft packet
0|6|7 , properly sanitize applet url inject applet .applettrustsettings configuration file bypass user approval execute applet craft web page line break
9|7|10|0|6 , partially control bluetooth acquire sensitive information improper d bus security policy configuration
0|6|7|9 , execute arbitrary code craft pdf file microsoft pdf remote code execution
0|6|7 , cip affected device reload denial service dos condition insufficient input processing cip traffic send craft cip traffic reload dos condition
9|7|10|0|6 , extraneous cookie datum obtain sensitive information unspecified vector
0|6|7 , escape interactive tcl shell gain unauthorized access underlie operating system device insufficient input validation user supply file escape scripting sandbox execute arbitrary command
0|6|7 , \0 character obtain potentially sensitive information kernel stack memory replace table read modprobe command line
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7 , properly handle simple page result search denial service daemon crash unspecified impact multiple search request
0|6|7 , load unsigned dll
5 , memory allocation excessive size value denial service specially craft license blob
3|9|7|6|0|1 , second factor auth bypass right click operation access forget dev menu insert user password second factor request
0|6|7 , achieve arbitrary code execution pass user control input e.g. $ request $ $ post framework clear method
9|7|10|0|6 , smart sms verification code access malicious website malicious app register incorrect processing smart sms verification code sensitive information leak
0|6|7 , xml node comment attack name_id node user@example.com < >
3|9|7|6|0|1 , alternate path channel modify wi fi network
9|7|10|0|6 , invalidate wordpress_sec session cookie discover valid session identifier brute force attack modify datum replay attack
0|6|7 , enumerate valid username observe ipmi interface response
5 , ignore query parameter return considerable result
5 , properly release reference transmission error reference counter wrap free event gain root privilege escape jail
0|6|7 , incorrect access control
9|7|10|0|6 , obtain sensitive pathname information local file drag craft javascript code
0|6|7 , elevate privilege root level
0|6|7 , get_pid_info function properly parse /proc pid status file kernel
2 , server require authentication
9|7|10|0|6 , elevation privilege obtain access custom permission general bypass
3|9|4|7|0|6 , discover credential
0|6|7 , directory traversal access unintended filesystem location
9|7|10|0|6 , user writable directory tree gain privilege
9|7|10|0|6 , information disclosure uem user session perform administrative action context user
10 , creation arbitrary user administrator setstring = new_user<*1*>administrator<*1*>123456 request
8|9 , logic issue bypass gatekeeper check
3|9|4|7|0|6 , bcm_password file http request access system
9|7|10|0|6 , ip address request get_realip.cgi request get_status.cgi
0|6|7 , arbitrary file delete attack availability impact
9|7|10|0|6 , zero colormap array uninitialized table read ~700 byte stack disclose sensitive information
2 , encrypted tunnel correctly route tunnel datum encrypt link read traffic datum confidentiality
9|7|10|0|6 , information disclosure improperly disclose content memory
3|9|7|6|0|1 , bypass authentication password start null \0 character valid user unauthenticated bind
2 , obtain cleartext content send encrypt data block automatically decrypt block send attacker quote text
0|6|7 , anr improper input validation local denial service
0|6|7 , properly validate execute arbitrary code craft application
0|6|7 , page reload create modal alert message social engineering attack
0|6|7 , denial service ssh screen process crash cli gui command
9|7|10|0|6 , execute arbitrary javascript code obtain sensitive information craft application local file associate file url
4|0|6|7 , ssh permanent enable wan ssh access terminal shell obtain unrestricted root privilege
0|6|7|9 , export site redirect
0|6|7|9 , properly recognize sslverifyclient require directive http/2 request authorization bypass intend access restriction send multiple request single connection
3|9|7|6|0|1 , properly handle relationship authentication requirement session inject request session send request completion login form session fixation attack
9|7|10|0|6 , compromise solaris unauthorized read access
4|0|6|7 , obtain hard code user credential
2 , capture potential plain text communication access sensitive information
0|6|7 , target outside extract archive
0|6|7 , denial service dos condition affect device insufficient validation capwap packet malforme capwap packet crash reload dos condition
0|6|7 , execute arbitrary code denial service memory consumption craft quicktime file
3|9|4|7|0|6 , information disclosure obtain equivalent user password logon backend system attack
0|6|7 , bind write lack check datum receive user
0|6|7 , alter environment variable unspecified vector
0|6|7|10 , bypass file path filtering
0|6|7 , gain privilege command string unspecified parameter
9|7|10|0|6 , initialize unspecified kernel datum structure obtain sensitive information kernel stack memory msgctl segctl
0|6|7|9 , denial service application crash craft 7z file
0|6|7 , execute arbitrary command improper input validation device configuration interface access configuration interface insert usb storage device execute arbitrary command
9|7|10|0|6 , improper directory permission escalation privilege
0|6|7 , escalation privilege local access
4|0|6|7 , instance nfx deployment
0|6|7 , arbitrary code execution
9|7|10|0|6 , bypass origin policy obtain sensitive information unspecified vector
3|9|7|6|0|1 , authentication issue leak sensitive user information
0|6|7|9 , elevation privilege execute arbitrary code compromise privileged process
2 , http request index.php?loginprovider uri obtain sensitive cleartext information sniff network read userident username field
0|6|7 , generate non standard file symlink device node break confinement denial service
3|9|7|6|0|1 , bypass authentication password
2 , connect browser look- view legitimate user network traffic record monitor interaction web service obtain information user supply
0|6|7 , run privileged cisco ios command web ui failure validate sanitize input wsma malicious payload affected device execute arbitrary command
9|7|10|0|6 , obtain sensitive information web service request
0|6|7 , execute arbitrary os command craft http request
9|7|10|0|6 , obtain sensitive information craft application
3|9|7|6|0|1 , bypass access control access entire application
0|6|7 , dll injection elevate privilege
0|6|7 , content disposition header craft file deliver client
9|7|10|0|6 , uuid storage read arbitrary application flash storage access arbitrary application javascript instance modify uuid value header craft application binary
0|6|7 ,
3|9|7|6|0|1 , logfile.html status.html system_config.html
0|6|7 , ftd overwrite append arbitrary datum system file root level privilege incomplete validation user input issue cli command craft user parameter overwrite append arbitrary datum system file
0|6|7 , logic issue
0|6|7 , validate return value dup system bypass isolation protection mechanism craft application
9|7|10|0|6 , log run specially craft application improperly initialize memory address
0|6|7 , privilege elevation insufficient validation improper processing parameter craft specific packet gain elevate privilege
0|6|7 , denial service resource consumption bypass mass assignment protection mechanism craft json document creation arbitrary ruby symbol internal object unsafe object creation
9|7|10|0|6 , information disclosure properly validate input authenticate user guest operating hyper v information disclosure
9|7|10|0|6 , expose credential robots.txt set splash authentication credential splash request credential
9|7|10|0|6 , mt_rand predictable database backup file location
0|6|7 , properly validate pool id denial service memory corruption host crash execute arbitrary code unspecified vector
0|6|7 , javascript injection verify input malicious application request launch javascript injection compromise normal service
9|7|10|0|6 , local privilege elevation overwrite executable execute arbitrary code
9|7|10|0|6 , http access web console read session cookie
0|6|7 , mod.file.php untrusted input value input->get('file fix file icon.png icon.svg
0|6|7 ,
0|6|7 , denial service bsod unspecified impact validate input value
9|7|10|0|6 , phpinfo phpinfo.php
3|9|4|7|0|6 , compromise user account
3|9|7|6|0|1 , remote code execution
3|9|4|7|0|6 ,
3|9|7|6|0|1 , bypass authentication load malicious firmware
9|7|10|0|6 , gain read write access critical configuration file failure impose strict filesystem permission access modify restricted file use content configuration file bypass authentication log user
3|9|4|7|0|6 , cleartext submission password
9|7|10|0|6 , properly secure privileged bypass ` -dsafer ` restriction disable security protection access file system execute arbitrary command
9|7|10|0|6 , determine existence host os file unspecified vector
1|3 , create container subpath volume mount access file directory
9|7|10|0|6 , obtain sensitive information process memory unspecified vector
9|7|10|0|6 , read arbitrary report file knowledge filename
0|6|7 , denial service send specially craft td scdma message insufficient input validation value device abnormal
0|6|7 , regular expression denial service redos
9|7|10|0|6 , obtain sensitive information read cache web page different user
0|9 , event fire page verify origin incoming event fire event inject content command
3|9|7|6|0|1 , disable authentication requirement obtain valid new admin password
0|6|7 , validation untrusted input sandbox escape craft html page
0|6|7 , execute arbitrary code executable file
10 ,
9|7|10|0|6 , bypass kaslr protection mechanism discover driver base address craft application
9|7|10|0|6 , obtain credential diag debug application httpd
0|6|7 , input validation lack input validation craft malformed packet send device display additional memory datum sensitive information leakage
0|6|7|9 , unintended availability modem phone send text message issue command
0|6|7 , gain privilege craft application
9|7|10|0|6 , obtain sensitive information direct request .php file error message viewer.php
9|7|10|0|6 , information disclosure object memory information disclosure
9|7|10|0|6 , properly restrict password datum database calculate password unspecified database privilege
4|0|6|7 , obtain modify sensitive patient financial information elevate db2 role access object database table access datum
9|7|10|0|6 , read data
0|6|7 , denial service
9|7|10|0|6 , obtain password reset link read log mandrill dashboard
0|6|7 , dos vulnerability trigger uncontrolled resource input validation markdown field
9|7|10|0|6 , memory address leak
10 , undelete page
3|9|7|6|0|1 , remote urlaccesscontroller authentication
9|7|10|0|6 , obtain sensitive information unspecified vector xml external entity xxe
0|6|7 , validate number column denial service stack base buffer overflow application crash craft packet
9|7|10|0|6 , field cap field value fls
9|7|10|0|6 , bypass aslr protection mechanism craft code
10 , role base access control rbac access resource perform action properly handle rbac send craft http request affect device view delete certain screen content
3|9|7|6|0|1 , properly validate authentication cookie bypass intend access restriction http session
0|6|7 , start arbitrary activity system craft html page
4|0|6|7 , md5 bypass md5 authentication establish bgp connection device vrf establish bgp session nx os device send malicious packet obtain information bgp peer
1|0|3|9 , spoof security ui craft html page
9|7|10|0|6 , obtain sensitive information datum software version request web virtual directory
0|6|7 , denial service sigsegv
9|7|10|0|6 , information disclosure vulnerability object memory information disclosure
9|7|10|0|6 , web page contain external link request query string obtain sensitive information web server access log web server referer log cross domain referer leakage
9|7|10|0|6 , incorrect access control
0|6|7 , esa bypass filtering functionality affect device improper detection certain content send affect device send certain file type send message contain malicious content
0|9 , gain access build party rest resource session fixation
9|7|10|0|6 , obtain sensitive information direct request .php file error message padmin block vergal.php
3|9|7|6|0|1 , file modification incorrect http authentication
3|9|7|6|0|1 , account takeover
0|6|7 , properly validate upload image file denial service memory consumption large invalid image
0|6|7 , execute arbitrary code v parameter conjunction d parameter upd_jxcode = true action ndxzstudio/?a
9|7|10|0|6 , value sensitive config key
0|6|7 , file upload xss
9|7|10|0|6 , man- obtain repository credential unspecified vector
0|6|7 , fsockopen security risk
10 , insecure permission
4|0|6|7 ,
0|6|7 , escalation privilege denial service information disclosure
0|6|7 , sim lock sim kill deactivation flow sequence
5 , denial service unrestricted resource consumption
0|6|7 , input verification bounds memory write
9|7|10|0|6 , file metadata information
3|9|7|6|0|1 , login use
0|6|7 , prototype pollution vulnerability inject arbitrary property object.prototype
0|6|7 ,
0|6|7 , memory overread
2 , cleartext transmission intercept interpret manipulate datum come
9|7|10|0|6 , caching https response obtain sensitive local cache information unattended workstation
9|7|10|0|6 , use insecure connection
0|6|7 , execute arbitrary php code server
0|6|7 , http header injection improper validation input specially craft http request inject http host header attack vulnerable system cross site scripting cache poisoning session hijacking
0|6|7 , sufficiently filter add user server username password field rest/
0|6|7 , inconsistent bit sample assertion violation denial service
0|6|7|9 , restrict incorrectly restrict access resource
