7|9|6|0|10 , local privilege escalation
3|7|6|9|1|0 , remote code execution
3|7|6|9|1|0 , load malicious firmware
7|9|6|0|10 , gain read write access critical configuration file use content configuration file bypass authentication log user
3|7|9|6|4|0 , cleartext submission password
7|9|6|0|10 , bypass ` -dsafer ` restriction disable security protection access file system execute arbitrary command
7|9|6|0|10 , determine existence host os file
3|1 , create container subpath volume mount access file directory
7|9|6|0|10 , obtain sensitive information process memory
7|9|6|0|10 , read arbitrary report file
7|6|0 , denial service send specially craft td scdma message device abnormal
7|6|0 , regular expression denial service redos
7|9|6|0|10 , obtain sensitive information
9|0 , event fire page fire event inject content command
3|7|6|9|1|0 , disable authentication requirement obtain valid new admin password
7|6|0 , sandbox escape
7|6|0 , execute arbitrary code
7|9|6|0|10 , bypass kaslr protection mechanism discover driver base address
7|9|6|0|10 , obtain credential
7|6|0 , craft malformed packet send device display additional memory datum sensitive information leakage
7|6|9|0 , unintended availability modem phone send text message issue command
7|6|0 , gain privilege
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure information disclosure
7|9|6|0|10 , calculate password
7|6|4|0 , obtain modify sensitive patient financial information elevate db2 role access object database table access datum
7|9|6|0|10 , read data
7|6|0 , denial service
7|9|6|0|10 , obtain password reset link
7|6|0 , dos vulnerability trigger uncontrolled resource
7|9|6|0|10 , memory address leak
10 , undelete page
3|7|6|9|1|0 , remote urlaccesscontroller authentication
7|9|6|0|10 , obtain sensitive information xml external entity xxe
7|6|0 , denial service stack base buffer overflow application crash
7|9|6|0|10 , field cap field value
7|9|6|0|10 , bypass aslr protection mechanism
10 , role base access control rbac access resource perform action view delete certain screen content
3|7|6|9|1|0 , bypass intend access restriction
7|6|0 , start arbitrary activity system
7|6|4|0 , bypass md5 authentication establish bgp connection device establish bgp session nx os device obtain information bgp peer
3|9|1|0 , spoof security ui
7|9|6|0|10 , obtain sensitive information datum software version
7|6|0 , denial service sigsegv
7|9|6|0|10 , information disclosure vulnerability information disclosure
7|9|6|0|10 , web page contain external link obtain sensitive information cross domain referer leakage
7|9|6|0|10 , incorrect access control
7|6|0 , bypass filtering functionality affect device send message contain malicious content
9|0 , gain access build party rest resource session fixation
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , file modification
3|7|6|9|1|0 , account takeover
7|6|0 , denial service memory consumption
7|6|0 , execute arbitrary code
7|9|6|0|10 , value sensitive config key
7|6|0 , file upload xss
7|9|6|0|10 , man- obtain repository credential
7|6|0 , fsockopen security risk
10 , insecure permission
7|6|0 , escalation privilege denial service information disclosure
7|6|0 , sim lock sim kill deactivation flow sequence
5 , denial service
7|6|0 , input verification bounds memory write
7|9|6|0|10 , file metadata information
3|7|6|9|1|0 , login use
7|6|0 , prototype pollution vulnerability inject arbitrary property object.prototype
7|6|0 , memory overread
2 , cleartext transmission intercept interpret manipulate datum come
7|9|6|0|10 , caching https response obtain sensitive local cache information
7|9|6|0|10 , use insecure connection
7|6|0 , execute arbitrary php code server
7|6|0 , http header injection inject http host header attack vulnerable system cross site scripting cache poisoning session hijacking
7|6|0 , add user server
7|6|0 , assertion violation denial service
7|6|9|0 , restrict incorrectly restrict access resource
3|7|6|9|1|0 , request account password reset gain access account
7|9|6|0|10 , obtain sensitive stack trace information
7|6|9|0 , compromise oracle flexcube universal banking unauthorized update insert delete access unauthorized read access partial denial service partial dos
7|6|4|0 ,
7|6|0 , denial service application crash
7|9|6|0|10 , read arbitrary sap central user administration
7|9|6|0|10 , password- discover cleartext administrator password
7|9|6|0|10 , obtain sensitive information kernel memory
7|9|6|0|10 , read download arbitrary file device file system
7|6|0 , craft relative path bypass access control interpret non normalized path provide attacker access
3|10 , eavesdrop sensitive datum cleartext
7|6|0 , upload file binary
7|9|6|0|10 , disclose information information disclosure
7|9|6|0|10 , obtain access brute force approach
7|9|6|0|10 , compute forge valid chk receive configuration setting sensitive value credential username
9|0 , spoof vulnerability
7|9|6|0|10 , obtain sensitive information kernel stack memory
3|7|9|6|4|0 , oauth authentication refresh access token impersonate legitimate user view change user personal information gain physical control android device compromise
7|6|0 , improper input validation
7|6|0 , collision
7|6|4|0 , gain unauthorized administrative access remote code execution
7|6|0 , read arbitrary file underlying filesystem device read arbitrary file
7|6|9|0 , write arbitrary file
7|9|6|0|10 , information disclosure
7|6|0 , arbitrary write access modification spi flash
5 , memory leak memory leak
7|6|0 , smuggle request
7|6|0 , remote code execution remote code execution
7|6|9|0 , zigbee replay
7|9|6|0|10 , accelerate micro architectural attack
7|6|9|0 , unauthorized execution binary create malformed windows binary
7|9|6|0|10 , access datum
7|6|0 , resource exhaustion remote denial service
7|9|6|0|10 , read write configuration file modify application server configuration
3|9|1|0 , pass create new udid
7|6|0 , compromise malicious user
7|9|6|0|10 , obtain private key
7|9|6|0|10 , download arbitrary file target system
3|7|6|9|1|0 , execute arbitrary code
2 , communicate clear text request encrypt communication channel sensitive information document content
7|6|0 , denial service vpnmgr process restart
3|7|6|9|1|0 , authentication bypass
7|9|6|0|10 , bypass intend access restriction
3|7|6|9|1|0 , bypass authentication perform action
7|6|0 , overwrite arbitrary file
3|7|6|9|1|0 ,
7|9|6|0|10 , mount attack system
7|9|6|0|10 , read notification device obtain text user notification
7|9|6|0|10 , information disclosure obtain user personally identifiable information
7|9|6|0|10 ,
7|9|6|0|10 , cleartext inputaccel ia obtain sensitive information
7|6|0 , remote code execution execute arbitrary script gain access sensitive information
7|9|6|0|10 , bypass intend authorization policy
3|7|6|4|0 , brute force authentication attack login page
5 , allocate large memory
7|6|0 , insecure library loading dll hijacking privilege escalation
7|6|0 , denial service host crash
7|9|6|0|10 , discover office system server boss db2 database credential
7|6|0 , denial service require assertion failure daemon exit
7|6|0 , remote code execution
7|6|4|0 , simple automated exploit chain unauthenticated root shell
7|9|6|0|10 , error response cache intermediate proxy loss confidentiality
7|6|0 , denial service bsod unspecified impact
7|6|0 , spoof ssl server
7|6|9|0 , arbitrary anonymous upload phone storage
3|7|9|6|4|0 , key protection enable denial service
3|10 , miss encryption sensitive datum
7|9|6|0|10 , access restriction view configuration menu
7|6|0 , arbitrary code execution
7|6|0 , denial service application crash
7|6|0 , overwrite tzasc allow tee compromise
7|6|0 , system_server crash reboot
7|9|6|0|10 , obtain sensitive information kernel heap memory
10 , escalation privilege local attack
3|7|9|6|4|0 , offline dictionary brute force attack cross protocol authentication bypass offline dictionary brute force attack recover weak pre shared key enable impersonation victim host network
7|9|6|0|10 , obtain sensitive interim form input information
5 , denial service memory leak
7|9|6|0|10 , obtain sensitive information buffer overflow
7|9|6|0|10 , obtain sensitive information kernel heap memory
7|9|6|0|10 , view fully qualified domain cisco webex administration server
7|6|9|0 , bypass safebrowsing protection mechanism
7|6|0 , forge http route service request crash
7|9|6|0|10 , spoof location object
5 , loadflashmovie function obtain sensitive information process memory
7|9|6|0|10 , determine kernel memory address bypass kaslr protection mechanism
7|6|4|0 , execute arbitrary code
7|6|0 , att event deadlock crash
7|9|6|0|10 , read arbitrary user email address
7|6|0 , phishing attack
7|6|0 , denial service bsod unspecified impact
7|6|0 , denial service bsod unspecified impact
7|6|0 , server template injection ssti remote code execution
7|9|6|0|10 , timing attack brute force signing key complete read write access bits service storage
10 , weak permission
5 ,
3|7|6|9|1|0 , assume proper authentication fake remember token assume identity global system administrator request non public content
7|6|0 , symlink traversal arbitrary file overwrite
7|9|6|0|10 , obtain sensitive information
7|6|0 , x server crash execute arbitrary code
3|7|9|6|4|0 , cleartext password
3|7|6|9|1|0 , replay attack
7|9|6|0|10 , obtain sensitive job build information
3|1 , deploy trojan horse code ensure c:\python27 access control
7|9|6|0|10 , obtain input event obtain password
7|6|0 , validation issue modify protect file system
3|7|6|9|1|0 , bypass filtering protection bypass filtering deliver malicious request protect system
7|9|6|0|10 , reference external open xml document type definition track access manipulate document usage document expose
3|7|6|9|4|0 , gain ssh root access
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass login obtain partially authorize token uid
5 , corrupt data loss
7|6|0 , arbitrary file read modify data source configuration
7|6|9|0 , elevation privilege execute arbitrary code compromise privileged process
3|9|6|1|4|0 , gain privilege
7|6|9|0 , gain privilege
7|6|0 , denial service application crash unspecified impact
7|9|6|0|10 , read interface setting vdoms
7|9|6|0|10 , install plugin include activate arbitrary plugin blog install vulnerable plugin
3|7|9|6|4|0 , authentication error password exposure
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass authentication send alter communication packet
7|6|0 , host header injection
7|6|0 , trigger truncation apfs volume password
3|7|6|9|1|0 , improper authentication obtain illegitimate access system
7|9|6|0|10 , arp poisoning attack obtain sensitive information
5 , denial service memory consumption
3|7|9|6|4|0 , obtain hash user password obtain hash user password
3|7|6|9|1|0 , bypass intend access restriction
7|6|0 , cross site request forgery csrf hijack authentication arbitrary user
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , discover password bypass office 365 restriction
3|7|6|9|1|0 , leak user information password
7|9|6|0|10 , bypass origin policy obtain sensitive information
7|6|0 , bound memory read
7|9|6|0|10 , hijack environment variable
7|6|4|0 ,
7|6|0 , untrusted search path gain privilege execute arbitrary code
3|7|6|9|1|0 , disaster recovery dra bypass authentication
9|8 , download code unauthorized command execution
7|6|0 , denial service host hang crash
7|9|6|0|10 ,
7|6|0 , execute arbitrary code sql login
7|6|0 , gain privilege
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 ,
7|9|6|0|10 , custom variable reference secret setup protection rule ` ` instead original value hide custom variable column hide host service
7|6|0 , download malicious payload damage victim
7|9|6|0|10 , obtain potentially sensitive information
7|6|0 , remote code execution
7|6|0 , gain host os privilege prepare device assign vulnerable state dma host memory privilege escalation dma
7|9|6|0|10 , obtain sensitive information process memory
7|6|9|0 , bypass power write protection
7|9|6|0|10 , compromise authentication key access manipulate security relevant configuration unrestricted database access
7|6|0 , provide craft input openjpeg bounds write confidentiality integrity
7|6|0 , remote code execution
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , redirect application outbound http traffic arbitrary proxy server httpoxy
7|9|6|0|10 , obtain information
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , denial service crash
7|6|4|0 , run arbitrary web service remote procedure
7|6|9|0 , bypass access restriction enable debug option
7|6|0 , return illegal header integrate server response injection unexpected behavior
7|9|6|0|10 , leak hashed password
7|6|0 , download install trojan horse package
7|6|4|0 , manage endpoint compromise
5 , crash asterisk sdp negotiation failure
3|7|6|9|1|0 , use authenticate user session execute statement privilege escalation hijack session query incorrect audit logging undertake action hide session secret attack attack redact secret log
7|9|6|0|10 , view edit group runner setting
3|7|6|4|0 , bypass authentication maintenance port denial service
7|9|6|0|10 , information exposure leak information exist username
7|6|0 , arbitrary code execution
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , impact operations manager
7|6|0 , search path gain privilege
7|6|0 , escape parent session escape sandbox
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , authentication bypass direct access webpage access application
7|6|0 , gain privilege
7|6|0 , denial service bsod
7|6|0 , place malicious file gain administrative privilege system
7|6|9|0 , execute arbitrary code
3|10 , cookie value obtain cookie value
7|6|0 , csv injection execute arbitrary command system
10 , bypass device guard user mode code integrity umci
3|9|6|1|4|0 , bypass normal login process login application gain access data functionality
7|9|6|0|10 , discover content directory
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service crash
7|9|6|0|10 , obtain sensitive information
7|6|0 , remote desktop session host rdsh spoof client remote desktop session host
7|6|4|0 , obtain administrative access
10 , remote access gain privileged access affect system
7|9|6|0|10 , privilege escalation
7|9|6|0|10 , write access unauthorized replacement service program executable exe dynamically loadable library dll elevate system user access configuration control file affect service process behavior
10 , escalate privilege local access
7|9|6|0|10 , hijack tcp session
7|6|0 , bypass content filter email instead forward device
7|9|6|0|10 , information disclosure
7|6|0 , execute arbitrary program
7|9|6|0|10 , override jdk download credential download jdk
7|6|0 , denial service data loss filesystem write operation
7|9|6|0|10 , bypass intend anonymity feature discover client ip address
7|6|0 , denial service high speed bridge hang
7|6|0 , inject code dll hijacking
7|6|9|0 , create modify subtree
7|9|6|0|10 , exposure sensitive information readable expose
7|9|6|0|10 , delete arbitrary file
5 , elevation privilege
5 , remote code execution remote code execution
7|9|6|0|10 , read backup file
3|7|9|6|4|0 ,
7|6|0 , elevation privilege
7|9|6|0|10 , bypass intend grid data access
7|6|9|0 , bypass intend access restriction
7|6|4|0 , access biomedical information modify device setting calibration
7|9|6|0|10 , capture cookie
7|6|0 , execute arbitrary code denial service memory corruption memory corruption
7|6|0 , software abort
3|1 , upload arbitrary datum arbitrary file extension file upload directly reference file correctly guess filename use
7|6|0 , argument parameter add repository execute code choice
7|6|9|0 , denial service process crash
7|6|4|0 , login ftp upload malicious firmware
5 , invalid progressive jpeg image denial service fatal error abort decompression resource consumption image size
7|6|0 , construct uri value slide unsanitized
7|6|0 , execute arbitrary command root
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read content arbitrary database table
7|9|6|0|10 , bypass intend access restriction server annotation replication stall
3|7|6|9|1|0 , access specific component
7|6|0 , denial service application crash
7|6|0 , bypass origin policy inject cascade style sheet css token sequence
7|6|0 , extract email service
7|6|0 , denial service infinite loop
7|9|6|0|10 , control socket world read write permission overwrite arbitrary file execute arbitrary code
7|6|0 , gain shell access restricted shell break gain shell access underlie system
7|9|6|0|10 , obtain sensitive information ini configuration file
3|7|9|6|4|0 , discover wi fi credential
7|6|0 , improper input validation escalate privilege root target device
7|6|0 , execute arbitrary code underlie operating system execute code root privilege
7|6|9|0 , bypass signature verification file
7|6|0 , execute arbitrary command
7|6|0 , execute arbitrary code execute arbitrary code
7|6|0 , execute arbitrary command
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , insecure permission issue
7|9|6|0|10 , sql injection execute arbitrary sql command
7|6|0 , denial service daemon outage denial service
7|6|0 , spoof ssl server
10 , local privilege elevation overwrite service executable execute arbitrary code local privilege escalation
7|9|6|0|10 , read arbitrary file xml external entity xxe
7|6|0 , denial service bounds array access unspecified impact
7|9|6|0|10 , information disclosure information disclosure
7|9|6|0|10 , hijack environment variable
7|6|0 , escalation privilege
7|6|9|0 , denial service application hang denial service
7|9|6|0|10 , bypass authentication mechanism information leak
3|7|6|9|1|0 , authentication bypass session hijacking
7|6|4|0 , login upload webshell
7|9|6|0|10 , bypass intend access restriction obtain sensitive information
7|6|0 , spoof server
7|6|9|0 , zigbee replay
7|9|6|0|10 , bypass security constraint view source code jsps resource
7|9|6|0|10 , information exposure elevate privilege target system
7|6|0 , denial service disk consumption gain privilege
7|6|0 , logic issue
3|7|6|9|1|0 , bypass site isolation
7|9|6|0|10 , find file path
7|6|0 , denial service host crash unspecified impact
3|7|6|9|1|0 , restart main service inject party code trusted process
9|0 , session fixation hijacking vulnerability utilize cookie
7|6|0 , run file access driver interface manipulate certain system denial service crash system run arbitrary code local machine kernel gain privileged access
7|6|0 , malicious clipboard content
9|0 , impersonate user system
7|9|6|0|10 , obtain sensitive information process memory
7|9|6|0|10 , obtain sensitive memory layout information
7|6|0 , denial service unexpected application termination
7|6|0 , session fixation attack
3|7|6|9|1|0 , brute force attack method
7|6|0 , control termination remote denial service
7|6|0 , execute arbitrary code denial service memory corruption
7|6|0 , denial service application crash
3|7|6|9|1|0 , execute arbitrary code creation file load dll process control
7|6|0 , denial service bug system crash
7|6|0 , insecure library loading dll hijacking privilege escalation
10 , write file /root directory affected device
7|6|0 , dll injection
7|6|0 , insufficient input validation bypass uri sanitization
7|6|0 , domain spoofing
7|6|9|0 , obtain sensitive information
7|9|6|0|10 , determine existence local pathname unc share pathname intranet hostname intranet ip address
7|6|0 , remote code execution
3|7|6|9|1|0 , undocumented functionality diagnostic shell access control check return true read write arbitrary register configuration parameter
7|6|0 , execute arbitrary code vsd file format memory corruption
3|7|6|9|1|0 , gain access directory listing server
3|7|6|9|1|0 , load secure memory memory corruption
3|7|6|9|1|0 , trick user instal malicious application bypass authentication perform unauthorized operation
7|6|0 , improper input validation denial service
7|6|0 , denial service
7|9|6|0|10 , obtain sensitive host version information
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , leak information backward compatible
3|10 , read sensitive datum administrator credential modify datum transit
7|6|0 , untrusted search path gain privilege
5 , memory leak
2 , obtain sensitive information multiple denial service smart home device tamper message
5 , leak uninitialized memory
7|9|6|0|10 , discover service account password
7|6|4|0 , access multiple quagga vty execute malicious unauthorized action
5 , denial service dos condition affect device consume high memory slow stop accept new tcp connection
3|7|6|9|1|0 , bypass access restriction execute arbitrary command
7|6|0 , inject arbitrary error page text
7|6|0 , boundary check prevent bounds memory read integer overflow bypass check bounds read
7|9|6|0|10 , information disclosure information disclosure
3|7|9|6|4|0 , credential plain eavesdrop communication derive secret store microcontroller arbitrarily manipulate firmware microcontroller
7|9|6|0|10 , access restricted information information disclosure
7|9|6|0|10 , retrieve account portal user expose account
3|7|6|9|1|0 , execute operation
3|7|6|9|1|0 , bypass authentication obtain administrative access
7|6|0 , inject arbitrary web script
7|6|0 , denial service daemon crash
10 , escalate root
7|6|9|0 , escalate privilege integrity availability
7|9|6|0|10 , capture cookie
3|7|6|9|1|0 , generate report organize comment
7|6|4|0 , obtain administrative access
7|9|6|0|10 , info leak gain control datum bypass kaslr stack canary protection exploit rce kernel parse input configuration parameter write efs variable memcpy
7|6|9|0 , write protection execution bypass change file
7|9|6|0|10 , truncate ephemeral secret decrypt intercept ssh session bit byte confusion bug
3|7|6|9|1|0 , gain unauthorized access vulnerable webex site gain privilege
7|6|0 , denial service
7|6|0 , bypass origin policy read location object prototype property injection
7|9|6|0|10 , bypass origin policy obtain physical location datum
3|7|6|9|1|0 , denial user service
7|9|6|0|10 , unspecified cleartext datum obtain sensitive information
7|9|6|0|10 , enumerate administrator account
3|7|9|6|4|0 , successfully log
7|6|0 , gain privilege
7|9|6|0|10 , read arbitrary attachment
7|9|6|0|10 , bind service gain elevate system privilege obtain access keystroke password personal identifiable information photo email
7|6|0 , clickjacking attack
7|6|0 , denial service disrupt domain access reset finite state machine
7|9|6|0|10 , csv export secure hashed password
7|6|0 , disclose sensitive information
7|9|6|0|10 , obtain sensitive information application implementation
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , execute arbitrary php code
5 , trigger excessive memory consumption aka oom
3|7|6|9|4|0|10 ,
7|9|6|0|10 , data confidentiality integrity system availability
7|6|0 , gain privilege search cmd.exe run malicious
7|6|0 , inject arbitrary header http response splitting attack
7|9|6|0|10 , information leak camera crash
3|7|6|9|1|0 , authentication bypass
10 , obtain sensitive information
7|6|9|0 , improper access control denial service code execution
7|9|6|0|10 , quicktype access discover password
7|6|0 , vulnerable pre instal rich communication services rcs programmatically send text message programmatically delete text message
7|6|0 , denial service device restart
7|6|4|0 , execution attacker supply sql statement enforce security rule integrity sql statement content send server execute arbitrary sql statement remote code execution
0 , password rechecking bypass check
10 , start telnet ssh root privilege gain access device privilege escalation access root shell
5 , consume resource memory leak service loss
3|7|9|6|4|0 , discover credential
7|6|0 , remote command execution
7|6|0 , dos weakness
7|6|0 , gain system privilege
3|7|6|9|1|0 , authentication requirement bypass
7|9|6|0|10 , obtain token use csrf protection
7|9|6|0|10 , escalation privilege local attack
7|9|6|0|10 , execute arbitrary command
7|6|0 , rewrite arbitrary user file
7|6|0 , buffer -read
7|9|6|0|10 , information disclosure
7|6|9|0 , bypass intend read access restriction
7|9|6|0|10 , obtain card address book
7|6|0 , remote code execution xss application crash output wrong hostname domain hijacking injection vulnerability
7|9|6|0|10 ,
7|6|0 , execute arbitrary code root privilege buffer overflow execute arbitrary code root privilege
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , create node location application denial of-
3|7|6|9|4|0|10 , plaintext credential obtain
7|6|0 , unauthenticated nosql injection rce
3|7|9|6|4|0 , privilege escalation execute code use credential overwrite arbitrary container image escalate privilege data confidentiality integrity
7|9|6|0|10 , read photo directory metadata
7|9|6|0|10 , sensitive information open dynamic page
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read 1 hash password ticket correspondence history
7|6|0 , compromise oracle vm server sparc impact additional product hang frequently repeatable crash complete dos
3|7|9|6|4|0 , plaintext password storage obtain expose password gain access application database
7|9|6|0|10 , obtain sensitive information stack trace
7|9|6|0|10 , fortios version info
10 , escalation privilege local access
7|9|6|0|10 , obtain sensitive information kernel memory
7|6|9|0 , execute arbitrary code
7|9|6|0|10 , read process heap memory
5 , process watch event queue trigger oom backend
9|0 , cross origin
7|6|0 , object injection
7|9|6|0|10 , uninitialized object information disclosure creation arraybuffer dataview object
3|9|1|0 , partial authentication bypass send unencrypted data frame discern information modify datum
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , request http service payload return secret information
7|9|6|0|10 , connect slave obtain sensitive information gain administrative access
5 , oom
7|6|0 , craft code alter intend controller flow software
5 , leak single bit memory
7|6|0 , gain privilege
7|9|6|0|10 , memory leak denial service memory consumption blank response page
7|6|0 , denial service
7|9|6|0|10 , obtain sensitive information
7|6|0 , unauthorized change filesystem affect device gain elevated privilege affected device
