9|10|0|6|7 , file disclosure vulnerability information exposure
0|9|6|7 , bypass intend restriction javascript api execution
0|6|7 , log
9|10|0|6|7 , remote disclosure information
0|6|7 , spoof address bar
3|9|1|0|6|7 , commit failure condition error message commit fail activate partial configuration
0|6|7 , run arbitrary code start database server escalate root privilege
0|6|7 , execute arbitrary command cross domain scripting attack
0|6|4|7 , unauthorized access application encrypt file
0|6|7 , crash device freeze device
9|10|0|6|7 , obtain sensitive configuration information
0|6|7 , prevent user execute bubblewrap execute code
0|9|6|7 , bypass intend item selection restriction
0|9|6|7 , remote code execution
0|6|7 , export broadcast receiver initiate taking screenshot result screenshot write external storage screen animation wake device expand status bar screenshot user notification text message dos reboot device
3|9|1|0|6|7 , bypass authentication
1|3 , scripting interaction backend server
0|6|7 , denial service crash read potentially sensitive memory buffer -read
9|10|0|6|7 , remote unauthenticated disclosure information
9|10|0|6|7 ,
9|10|0|6|7 , information disclosure
9|10|0|6|7 , access sensitive information confidentiality
3|0|6|4|7 , brute force account credential
5 , elevation privilege
3|9|1|0|6|7 , remote code execution remote code execution
0|6|7 , read arbitrary file
0|6|7 , crash system escalate privilege
9|10|0|6|7 , information disclosure information disclosure
0|6|7 , factory reset remove user datum app loss datum factory reset
10 , create fork relation restrict public project
3|9|1|0|6|7 , root privilege
0|9|6|7 , execute arbitrary code
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , bypass aslr protection mechanism
9|10|0|6|7 , database download
3|9|1|0|6|7 , retain access unspecified vector
3|0|6|4|7 , user enumeration improper restriction excessive authentication attempt enumerate user administrator group brute force attack password
0|6|7 , overwrite arbitrary file
0|6|7 , code execution process create executable memory mapping execute shellcode
3|9|1|0|6|7 , access sensitive information access sensitive device information
0|6|7 , launch deployment denial service deployment interruption
3|9|1|0|6|7 , detect http content man the- execute arbitrary web script
0|6|7 , infinite loop
0|6|7 , modify window title execute arbitrary command overwrite file
0|6|7 , bypass security constraint
0|6|7 , memory allocation denial service invalid pointer access unspecified impact
0|6|7 , denial service segmentation fault process crash
9|10|0|6|7 , denial service access external resource
0|6|7 , steal cookie domain host path
0|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive information kernel stack memory
3|9|1|0|6|7 , authentication bypass upload malicious datum
0|6|7 , execute arbitrary code system execute arbitrary code
9|10|0|6|7 , obtain path application leak path
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , bypass authentication
9|10|0|6|7 , discover password reset token
3|9|1|0|6|7 , view information modify setting execute code remotely
9|10|0|6|7 , obtain sensitive request information
0|6|7 , denial service
0|6|7 , perform arbitrary file upload execute arbitrary code
0|6|7 , handle block child denial service application crash unknown impact
0|6|7 , gain privilege execute service
0|6|7 , denial service dos camera application unusable
9|10|0|6|7 , information disclosure retrieve sensitive information
0|6|7 , clickjacking attack
0|6|7 , overwrite arbitrary file
9|10|0|6|7 , read internal information
0|6|7 , untrusted search path gain privilege
3|9|1|0|6|7 , bypass authentication gain administrative access
0|9|6|7 , bypass intend access restriction read task detail edit property
0|6|7 , denial service port hang
10|3 , read sensitive information server template injection
5 , denial service memory leak
0|9|6|7 , denial service system hang denial service
0|6|7 , denial service system crash
0|6|7 , untrusted search path gain privilege
0|6|7 , bounds write execute code context current process
0|6|7 , read additional data evaluate tls context response injection
0|6|7 , escalation privilege local escalation privilege
0|6|7 , execute arbitrary code
0|6|7 , external control file change download package overwrite arbitrary file
5 , attempt excessive memory allocation denial of- memory
9|10|0|6|7 , read private file
9|10|0|6|7 , access datum outside permission level general bypass exploit mitigation technology
9|10|0|6|7 , obtain sensitive information
5 , denial service memory consumption
3|9|1|0|6|7 , force hostapd process terminate denial service
0|6|7 , write arbitrary file symlink attack
5 , leak memory denial service
0|6|7 , execute arbitrary code windows pdf remote code execution
0|6|7 , inject bytecode app local escalation privilege
0|6|7 , execute arbitrary code
0|6|7 , attack
9|10|0|6|7 , information disclosure disclosure document root path
0|6|7 , remote code execution
0|6|7 , denial service system crash
9|10|0|6|7 , administration console traffic obtain sensitive information
0|6|7 , denial service crash null pointer
0|6|7 , denial service memory corruption
0|6|7 , unknown impact denial service infinite loop arbitrary code execution memory corruption invalid page tree node
9|10|0|6|7 , obtain sensitive information early network communication
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , view private ip address sensitive information
0|6|7 , denial service assertion failure
0|6|7 , dos attack
0|6|7 , overwrite arbitrary file arbitrary folder execute arbitrary code
9|10|0|6|7 , obtain sensitive cleartext web service information
0|6|7 , traffic management microkernel tmm restart result denial service dos
0|9|1|3 , signature bypass
9|10|0|6|7 , obtain configuration information
5 ,
9|10|0|6|7 , information disclosure
0|9|6|7 , bypass intend restriction method
0|6|7 , gain privilege
0|6|7 , leak referrer information
9|10|0|6|7 , obtain sensitive information
0|6|7 , untrusted search path gain privilege
0|6|4|7 , file transfer
0|6|7 , input validation issue execute arbitrary code
0|6|7 , denial service unspecified impact
0|6|7 , crash
9|10|0|6|7 , obtain sensitive information
0|6|7 , denial service application crash unspecified impact
9|10|0|6|7 , bypass aslr execute code
0|6|7 , execute arbitrary javascript
0|6|4|7 , validate cookie signature bypass intend protection mechanism php object injection attack execute arbitrary php code
0|6|7 , accept arbitrary file send server overwrite unrelated file
9|10|0|6|7 , discover password arbitrary user
9|10|0|6|7 , information disclosure
9|10|0|6|7 , path disclosure leakage sensitive datum
3|9|0|6|4|7 , discover credential
0|6|7 , execute arbitrary code
3|9|1|0|6|7 , injection cascading style sheet css token sequence
9|10|0|6|7 , read content information disclosure vulnerability
3|9|1|0|6|7 , authentication bypass access account
3|9|1|0|6|7 , authentication bypass insert arbitrary javascript html code update insert code
5 , memory buffer error memory leakage dos attack
0|6|7 , proxy command injection execute arbitrary code vulnerable installation
9|10|0|6|7 , local malicious application access datum outside permission level
0|9|6|7 , graphic driver denial service system crash gain privilege interface access control
0|6|7 , command injection
0|6|7 , remote code execution remote code execution
9|10|0|6|7 , article bcc field
9|10|0|6|7 , discover potentially sensitive url creation img element information disclosure
0|6|7 , modify arbitrary file
9|10|0|6|7 , retrieve memory connect server
9|10|0|6|7 , bypass intend access restriction obtain sensitive information
0|6|7 ,
3|9|0|6|4|7 , strong password
0|6|7 , inject malicious code change wireless setting
0|6|7 , denial service null dereference crash
9|10|0|6|7 , read arbitrary kernel memory obtain sensitive information
9|10|0|6|7 , incorrect access control connect authentication subsequently record audio device microphone
9|10|0|6|7 , mitigation bypass bypass aslr use cache thread stack
3|9|1|0|6|7 , bypass authentication gain administrative access
5 , memory leak
0|6|7 , execute arbitrary code
0|6|4|7 , hidden administrative account flash new interface tag modbus coil map hmi login abb hmi read write hmi configuration file reset device
0|9 , session hijacking privilege escalation
9|10|0|6|7 , attack system
9|10|0|6|7 , obtain party integration parameter information disclosure
3|9|1|0|6|7 , download log file
9|10|0|6|7 , local privilege escalation
9|10|0|6|7 , obtain sensitive phone configuration information
5 , memory leak denial service
9|10|0|6|7 , information disclosure
9|10|0|6|7 , bypass content security policy
0|6|7 , execute arbitrary command
10|3 , miss encryption sensitive datum information leak disclosure network process information intellectual property
0|6|7 , configuration issue
0|6|7 , denial service crash
9|10|0|6|7 , access sensitive information
0|6|7 , untrusted search path gain privilege
9|10|0|6|7 , remote frame navigation access file local file system
9|10|0|6|7 , read srs secret
3|9|1|0|6|7 , continue receive update issue
0|6|7 , crash system_server process active install session write embed apk file accelerate parsing apk parse apk parse apk file crash soft reboot system_server crash
10 ,
9|10|0|6|7 , bypass intend access restriction discover credential key
9|10|0|6|7 , gain information relate memory layout blended attack
0|6|7 , arbitrary file overwrite
9|10|0|6|7 , discover dsa private key
9|10|0|6|7 , obtain potentially sensitive information
9|10|0|6|7 , unauthorized viewing response
9|10|0|6|7 , obtain potentially sensitive information
0|9|6|7 , bypass lock screen
3|9|0|6|4|7 , obtain credential use connect crowd 2
0|6|7 , execute arbitrary command load library directory execute arbitrary command
0|9 , session fixation attack obtain sensitive cookie information
0|6|7 , reindex allocate buffer denial service crash array index error
9|10|0|6|7 , obtain private key
9|10|0|6|7 , information exposure
0|6|7 , wsp infinite loop packet injection
0|6|7 , craft input unintended input altered control flow arbitrary control resource arbitrary code execution
9|10|0|6|7 , steal dm crypt encryption key
0|6|7 , reverse path forward urpf bypass urpf validation
0|6|7 , symlink mishandling change arbitrary directory permission
9|10|0|6|7 , cross origin resource sharing access sensitive information
0|6|7 , overwrite arbitrary file symlink attack
3|9|1|0|6|7 , man the- intercept inject disrupt junos space cluster operation
0|9 , session expiry time
9|10|0|6|7 , steal
0|9|6|7 , execute arbitrary command
0|6|7 , change ownership append datum arbitrary file
0|6|7 , privilege escalation
3|9|1|0|6|7 , bypass application protection mechanism cross site request forgery csrf
0|6|7 , instantiate arbitrary ruby object execute arbitrary command unsafe use constantize function
9|10|0|6|7 , automatic fallback discover tor client ip address automatic fallback
0|6|7 , open redirect redirect user arbitrary web site phishing attack
0|6|7 , denial service crash
0|6|7 , execute arbitrary code open file execute arbitrary code
9|10|0|6|7 , public key pinning pkp obtain sensitive information
9|10|0|6|7 , view content session session_admin directory expose active session cookie hijack user administrative session execute lua command
0|6|7 , image backup
0|6|7 , denial service invalid write operation application crash
0|6|7 , inject applet .applettrustsettings configuration file execute applet line break
9|10|0|6|7 , partially control bluetooth acquire sensitive information
0|9|6|7 , execute arbitrary code microsoft pdf remote code execution
0|6|7 , denial service infinite loop
0|6|7 , affected device reload denial service dos condition reload dos condition
9|10|0|6|7 , obtain sensitive information
0|6|7 , escape interactive tcl shell gain unauthorized access underlie operating system device escape scripting sandbox execute arbitrary command
0|6|7 , obtain potentially sensitive information kernel stack memory
0|6|7 , denial service panic
0|6|7 , untrusted search path gain privilege
0|6|7 , denial service daemon crash unspecified impact
0|6|7 , load unsigned dll
5 , memory allocation excessive size value denial service
3|9|1|0|6|7 , second factor auth bypass insert user password
0|6|7 , achieve arbitrary code execution
9|10|0|6|7 , smart sms verification code access malicious website malicious app register sensitive information leak
0|6|7 , xml node comment attack
3|9|1|0|6|7 , modify wi fi network
0|6|7 , enumerate valid username
9|10|0|6|7 , discover valid session identifier modify datum
5 , return considerable result
5 , reference counter wrap free event gain root privilege escape jail
0|6|7 , incorrect access control
9|10|0|6|7 , obtain sensitive pathname information local file drag
0|6|7 , elevate privilege root level
9|10|0|6|7 , include uninitialized bit read portion sensitive memory
0|6|7 ,
2 ,
9|10|0|6|7 , elevation privilege obtain access custom permission general bypass
3|9|0|6|4|7 , discover credential
0|6|7 , directory traversal access unintended filesystem location
0|6|7 , read source code web script
9|10|0|6|7 , gain privilege
0|6|7 , send arbitrary smtp command privilege boundary
9|10|0|6|7 , uem user session perform administrative action context user
10 , creation arbitrary user administrator
9|8 , logic issue bypass gatekeeper check
3|9|0|6|4|7 , access system
9|10|0|6|7 , ip address
0|6|7 , arbitrary file delete attack availability impact
9|10|0|6|7 , read ~700 byte stack disclose sensitive information
2 , encrypted tunnel read traffic datum confidentiality
3|9|1|0|6|7 , bypass authentication unauthenticated bind
9|10|0|6|7 , information disclosure
2 , obtain cleartext content
0|6|7 , execute arbitrary code
0|6|7 , anr local denial service
0|6|7 , page reload create modal alert message social engineering attack
0|6|7 , denial service ssh screen process crash
9|10|0|6|7 , execute arbitrary javascript code obtain sensitive information
0|6|4|7 , ssh permanent enable wan ssh access terminal shell obtain unrestricted root privilege
0|9|6|7 , export site redirect
3|9|1|0|6|7 , inject request session session fixation attack
0|9|6|7 , bypass intend access restriction
9|10|0|6|7 , compromise solaris unauthorized read access
0|6|4|7 , obtain hard code user credential
2 , capture potential plain text communication access sensitive information
0|6|7 , target outside extract archive
0|6|7 , denial service dos condition affect device crash reload dos condition
0|6|7 , execute arbitrary code denial service memory consumption
3|9|0|6|4|7 , information disclosure obtain equivalent user password logon backend system attack
0|6|7 , bind write
0|6|7 , alter environment variable
0|10|6|7 , bypass file path filtering
0|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive information kernel stack memory
0|9|6|7 , denial service application crash
0|6|7 , execute arbitrary command execute arbitrary command
9|10|0|6|7 , escalation privilege
0|6|7 , escalation privilege local access
0|6|4|7 , instance nfx deployment
0|6|7 , arbitrary code execution
9|10|0|6|7 , bypass origin policy obtain sensitive information
3|9|1|0|6|7 , authentication issue leak sensitive user information
0|9|6|7 , elevation privilege execute arbitrary code compromise privileged process
2 , obtain sensitive cleartext information
0|6|7 , generate non standard file symlink device node break confinement denial service
3|9|1|0|6|7 , bypass authentication password
2 , connect browser look- view legitimate user network traffic record monitor interaction web service obtain information user supply
0|6|7 , run privileged cisco ios command execute arbitrary command
9|10|0|6|7 , obtain sensitive information
0|6|7 , execute arbitrary os command
3|9|1|0|6|7 , bypass access control access entire application
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain sensitive information
0|6|7 , dll injection elevate privilege
0|6|7 , craft file deliver client
9|10|0|6|7 , read arbitrary application flash storage access arbitrary application javascript instance
3|9|1|0|6|7 ,
0|6|7 , overwrite append arbitrary datum system file overwrite append arbitrary datum system file
0|6|7 , logic issue
0|6|7 , denial service crash gain privilege
0|6|7 , bypass isolation protection mechanism
0|6|7 , privilege elevation craft specific packet gain elevate privilege
9|10|0|6|7 , log run specially craft application
0|6|7 , denial service resource consumption bypass mass assignment protection mechanism creation arbitrary ruby symbol internal object unsafe object creation
9|10|0|6|7 , information disclosure hyper v information disclosure
9|10|0|6|7 , expose credential set splash authentication credential splash request credential
9|10|0|6|7 , predictable database backup file location
0|6|7 , denial service memory corruption host crash execute arbitrary code
0|6|7 , javascript injection compromise normal service
9|10|0|6|7 , local privilege elevation overwrite executable execute arbitrary code
9|10|0|6|7 , obtain potentially sensitive information kernel stack memory
9|10|0|6|7 , http access web console read session cookie
0|6|7 ,
0|6|7 , denial service bsod unspecified impact
9|10|0|6|7 ,
3|9|0|6|4|7 , compromise user account
3|9|1|0|6|7 , remote code execution
3|9|1|0|6|7 , load malicious firmware
9|10|0|6|7 , gain read write access critical configuration file use content configuration file bypass authentication log user
3|9|0|6|4|7 , cleartext submission password
9|10|0|6|7 , bypass origin policy read sensitive information original url
9|10|0|6|7 , bypass ` -dsafer ` restriction disable security protection access file system execute arbitrary command
9|10|0|6|7 , determine existence host os file
1|3 , create container subpath volume mount access file directory
0|6|7 , unrestricted file upload upload execute arbitrary file
9|10|0|6|7 , obtain sensitive information process memory
9|10|0|6|7 , read arbitrary report file
0|6|7 , regular expression denial service redos
0|6|7 , denial service send specially craft td scdma message device abnormal
9|10|0|6|7 , obtain sensitive information
0|9 , event fire page fire event inject content command
3|9|1|0|6|7 , disable authentication requirement obtain valid new admin password
0|6|7 , sandbox escape
0|6|7 , execute arbitrary code
0|6|7 , denial service null dereference application crash
9|10|0|6|7 , bypass kaslr protection mechanism discover driver base address
9|10|0|6|7 , obtain credential
0|6|7 , craft malformed packet send device display additional memory datum sensitive information leakage
0|9|6|7 , unintended availability modem phone send text message issue command
0|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , information disclosure information disclosure
3|9|1|0|6|7 , bypass authentication reset modem replace firmware
9|10|0|6|7 , calculate password
0|6|4|7 , obtain modify sensitive patient financial information elevate db2 role access object database table access datum
9|10|0|6|7 , read data
0|6|7 , denial service
0|6|7 , denial service infinite loop
9|10|0|6|7 , obtain password reset link
3|9|1|0|6|7 , bypass authentication gain administrative privilege
0|6|7 , dos vulnerability trigger uncontrolled resource
9|10|0|6|7 , memory address leak
10 , undelete page
3|9|1|0|6|7 , remote urlaccesscontroller authentication
9|10|0|6|7 , obtain sensitive information xml external entity xxe
0|6|7 , denial service stack base buffer overflow application crash
9|10|0|6|7 , field cap field value
3|9|1|0|6|7 , bypass authentication execute arbitrary program command execution
9|10|0|6|7 , bypass aslr protection mechanism
10 , role base access control rbac access resource perform action view delete certain screen content
3|9|1|0|6|7 , bypass intend access restriction
0|6|7 , start arbitrary activity system
0|6|7 , overwrite arbitrary file symlink attack
0|6|4|7 , bypass md5 authentication establish bgp connection device establish bgp session nx os device obtain information bgp peer
0|9|1|3 , spoof security ui
9|10|0|6|7 , obtain sensitive information datum software version
0|6|7 , denial service sigsegv
9|10|0|6|7 , information disclosure vulnerability information disclosure
9|10|0|6|7 , web page contain external link obtain sensitive information cross domain referer leakage
9|10|0|6|7 , incorrect access control
0|6|7 , bypass filtering functionality affect device send message contain malicious content
0|9 , gain access build party rest resource session fixation
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , file modification
3|9|1|0|6|7 , account takeover
0|6|7 , denial service memory consumption
0|6|7 , execute arbitrary code
9|10|0|6|7 , value sensitive config key
0|6|7 , file upload xss
9|10|0|6|7 , man- obtain repository credential
0|6|7 , fsockopen security risk
10 , insecure permission
0|6|7 , denial service crash
0|6|7 , escalation privilege denial service information disclosure
0|6|7 , sim lock sim kill deactivation flow sequence
5 , denial service
0|6|7 , input verification bounds memory write
0|6|7 , overwrite arbitrary file
9|10|0|6|7 , file metadata information
3|9|1|0|6|7 , login use
0|6|7 , force iphone user arbitrary telephone number
0|6|7 , prototype pollution vulnerability inject arbitrary property object.prototype
0|6|7 , memory overread
2 , cleartext transmission intercept interpret manipulate datum come
0|6|7 , execute arbitrary php code server
9|10|0|6|7 , use insecure connection
9|10|0|6|7 , caching https response obtain sensitive local cache information
0|6|7 , http header injection inject http host header attack vulnerable system cross site scripting cache poisoning session hijacking
0|6|7 , add user server
3|9|1|0|6|7 , request account password reset gain access account
0|6|7 , assertion violation denial service
0|9|6|7 , restrict incorrectly restrict access resource
9|10|0|6|7 , obtain sensitive stack trace information
0|9|6|7 , compromise oracle flexcube universal banking unauthorized update insert delete access unauthorized read access partial denial service partial dos
0|6|4|7 ,
0|6|7 , denial service application crash
9|10|0|6|7 , read arbitrary sap central user administration
9|10|0|6|7 , password- discover cleartext administrator password
9|10|0|6|7 , obtain sensitive information kernel memory
9|10|0|6|7 , read download arbitrary file device file system
0|6|7 , craft relative path bypass access control interpret non normalized path provide attacker access
10|3 , eavesdrop sensitive datum cleartext
0|6|7 , upload file binary
9|10|0|6|7 , disclose information information disclosure
9|10|0|6|7 , obtain access brute force approach
9|10|0|6|7 , compute forge valid chk receive configuration setting sensitive value credential username
0|9 , spoof vulnerability
9|10|0|6|7 , obtain sensitive information kernel stack memory
3|9|0|6|4|7 , oauth authentication refresh access token impersonate legitimate user view change user personal information gain physical control android device compromise
0|6|7 , improper input validation
0|6|7 , untrusted search path gain root privilege
0|6|7 , collision
0|6|4|7 , gain unauthorized administrative access remote code execution
0|6|7 , read arbitrary file underlying filesystem device read arbitrary file
0|9|6|7 , write arbitrary file
9|10|0|6|7 , information disclosure
0|6|7 , arbitrary write access modification spi flash
5 , memory leak memory leak
0|9|6|7 , zigbee replay
0|6|7 , remote code execution remote code execution
0|6|7 , smuggle request
9|10|0|6|7 , accelerate micro architectural attack
0|9|6|7 , unauthorized execution binary create malformed windows binary
0|6|7 , execute arbitrary command
9|10|0|6|7 , access datum
0|6|7 , obtain sensitive response datum
0|6|7 , resource exhaustion remote denial service
9|10|0|6|7 , read write configuration file modify application server configuration
0|9|1|3 , pass create new udid
0|6|7 , compromise malicious user
9|10|0|6|7 , obtain private key
9|10|0|6|7 , download arbitrary file target system
3|9|1|0|6|7 , execute arbitrary code
2 , communicate clear text request encrypt communication channel sensitive information document content
0|6|7 , denial service vpnmgr process restart
3|9|1|0|6|7 , authentication bypass
9|10|0|6|7 , bypass intend access restriction
3|9|1|0|6|7 , bypass authentication perform action
0|6|7 , overwrite arbitrary file
3|9|1|0|6|7 ,
9|10|0|6|7 , mount attack system
9|10|0|6|7 , read notification device obtain text user notification
9|10|0|6|7 , obtain sensitive information password
9|10|0|6|7 , information disclosure obtain user personally identifiable information
9|10|0|6|7 ,
9|10|0|6|7 , cleartext inputaccel ia obtain sensitive information
0|6|7 , remote code execution execute arbitrary script gain access sensitive information
9|10|0|6|7 , bypass intend authorization policy
3|0|6|4|7 , brute force authentication attack login page
9|10|0|6|7 , obtain sensitive information
5 , allocate large memory
0|6|7 , insecure library loading dll hijacking privilege escalation
0|6|7 , denial service host crash
0|6|7 , denial service crash
0|6|7 , denial service require assertion failure daemon exit
9|10|0|6|7 , discover office system server boss db2 database credential
0|6|7 , remote code execution
0|6|4|7 , simple automated exploit chain unauthenticated root shell
9|10|0|6|7 , error response cache intermediate proxy loss confidentiality
0|6|7 , denial service bsod unspecified impact
9|10|0|6|7 , obtain sensitive information
0|6|7 , spoof ssl server
0|9|6|7 , arbitrary anonymous upload phone storage
0|6|7 , denial service daemon crash
3|9|0|6|4|7 , key protection enable denial service
10|3 , miss encryption sensitive datum
9|10|0|6|7 , access restriction view configuration menu
0|6|7 , arbitrary code execution
0|6|7 , denial service application crash
0|6|7 , system_server crash reboot
0|6|7 , overwrite tzasc allow tee compromise
9|10|0|6|7 , obtain sensitive information kernel heap memory
10 , escalation privilege local attack
3|9|0|6|4|7 , offline dictionary brute force attack cross protocol authentication bypass offline dictionary brute force attack recover weak pre shared key enable impersonation victim host network
9|10|0|6|7 , obtain sensitive interim form input information
5 , denial service memory leak
9|10|0|6|7 , obtain sensitive information buffer overflow
9|10|0|6|7 , obtain sensitive information kernel heap memory
9|10|0|6|7 , view fully qualified domain cisco webex administration server
9|10|0|6|7 , obtain sensitive information
0|9|6|7 , bypass safebrowsing protection mechanism
0|6|7 , forge http route service request crash
9|10|0|6|7 , spoof location object
5 , loadflashmovie function obtain sensitive information process memory
9|10|0|6|7 , determine kernel memory address bypass kaslr protection mechanism
0|6|4|7 , execute arbitrary code
0|6|7 , unrestricted file upload upload arbitrary php code
0|6|7 , att event deadlock crash
9|10|0|6|7 , read arbitrary user email address
0|6|7 , denial service bsod unspecified impact
0|6|7 , denial service bsod unspecified impact
